ID,,Organisation,User type,Data supplier,Data,Regio,website,Description,geregistreerd,DA-stakeholder,,,,,
88,,Getaround,Data supplier,Demand responsive transport - private,Carsharing,Belgium - International,https://be.getaround.com/,Carsharing. Oude naam: drivy,No,Yes,,,,,
89,,Go Sharing,Data supplier,Demand responsive transport - private,Bike/Step/Scooter sharing,Flanders TEN-T,nl.go-sharing.com,deelscooters - vergunning voor Antwerpen vanaf januari 2021,No,Yes,,,,,
90,,GreenMobility,Data supplier,Demand responsive transport - private,Carsharing,Flanders TEN-T,https://www.greenmobility.com,Electrische free-float carsharing,No,Yes,,,,,
91,47df5593-804c-4fd9-9079-50e7b454f1b9 ,GTL-taxi,Federation/network,/,/,/,www.gtl-taxi.be,Nationale Groepering van Ondernemingen met Taxi- en Locatievoertuigen met chauffeur,Yes,No,,,,,
92,,Handycab,Data supplier,Demand responsive transport - private,taxi,Brussels ,https://booking.handycab.be,Brusselse taxidienst,No,Yes,,,,,
93,,Heetch,Data supplier,Demand responsive transport - private,taxi,Belgium - International,www.heetch.com,Franse Uber,No,Yes,,,,,
94,,Heli Sv,Data supplier B2B,Demand responsive transport - private,Air,Belgium - International,,Helicopters,No (not neccesary),No,,,,,
95,,Heli&Co,Data supplier B2B,Demand responsive transport - private,Air,Belgium - International,,Helicopters,No (not neccesary),No,,,,,
96,,Here technologies,Data user,/,/,/,https://www.here.com,"HERE enables people, enterprises and cities around the world to harness the power of location and create innovative solutions that make our lives safer and more efficient. We transform information from devices, vehicles, infrastructure and other sources into real-time location services that play a key role in how we move, live and interact with one another. To realise the full potential of ITS, now is the time to make sense of the massive quantities of real-time data. HERE makes this possible. Our leading location cloud leverages the power of those data – processing and analyzing to enable increased automation and efficiencies in transportation and mobility. The result is an interoperable analytical software and E2E integration services for Cooperative Intelligent Transportation Systems.   ",No (not neccesary),No,,,,,
97,,Icoms Detections,Other…,/,/,/,https://icomsdetections.com,"Belgian company specialised in the design and manufacturing of microwave detectors and equipment for vehicle counting, classification and speed measurement, commonly known as “radars”.",No (not neccesary),No,,,,,
98,,IDM,Research,/,/,/,https://www.idm.ugent.be/,Instituut voor duurzame mobiliteit Ugent,No (not neccesary),No,,,,,
